,type,title,director,country,date_added,release_year,rating,duration_num,duration_type,genre,month_added,year_added
1,Movie,Take Care Good Night,Girish Joshi,India,2021-03-30,2018,13+,110,min,Drama,March,2021
553,TV Show,The Lucy Show,Unknown,United States,2021-03-30,1967,13+,3,Seasons,Comedy,March,2021
1089,TV Show,Scaredy Squirrel,Unknown,United States,2021-03-30,2012,TV-G,4,Seasons,Animation,March,2021
1442,TV Show,Oddbods,Unknown,United States,2021-03-30,2020,ALL,2,Seasons,Animation,March,2021
2096,TV Show,Inspector Manara (English Subtitled),Unknown,United States,2021-03-30,2011,TV-NR,2,Seasons,International,March,2021
2888,TV Show,Chacha Vidhayak Hain Humare,Unknown,United States,2021-03-30,2021,13+,2,Seasons,Comedy,March,2021
3573,TV Show,Yukon Gold,Unknown,United States,2021-04-01,2017,TV-PG,4,Seasons,Unscripted,April,2021
3652,TV Show,Amazon Riders,Unknown,United States,2021-04-01,2018,13+,2,Seasons,Action,April,2021
4329,TV Show,Fortitude,Unknown,United States,2021-04-13,2017,18+,1,Season,Drama,April,2021
4424,TV Show,Word of Honor,Unknown,United States,2021-04-17,2021,18+,2,Seasons,Action,April,2021
4490,TV Show,Ethan The Dump Truck,Unknown,United States,2021-04-20,2019,ALL,2,Seasons,Animation,April,2021
4495,TV Show,Color Crew All About Colors,Unknown,United States,2021-04-20,2018,ALL,4,Seasons,Animation,April,2021
4622,TV Show,Wired Outdoors,Unknown,United States,2021-04-26,2020,13+,1,Season,Action,April,2021
4649,TV Show,Loudermilk,Unknown,United States,2021-04-27,2021,16+,3,Seasons,Comedy,April,2021
4651,TV Show,Bible Land Passages,Unknown,United States,2021-04-27,2018,ALL,2,Seasons,Documentary,April,2021
4724,TV Show,Lupin the 3rd Part 4 (English Dub),Unknown,United States,2021-04-30,2016,13+,2,Seasons,Action,April,2021
4783,TV Show,Foxpro Hunting,Unknown,United States,2021-05-01,2018,13+,1,Season,Sports,May,2021
4989,TV Show,Cruising the Cut,Unknown,United States,2021-05-09,2021,13+,4,Seasons,Documentary,May,2021
5004,TV Show,Troy The Train,Unknown,United States,2021-05-11,2017,ALL,1,Season,Animation,May,2021
5039,TV Show,Pororo Sing Along,Unknown,United States,2021-05-12,2019,ALL,1,Season,Arts,May,2021
5041,TV Show,Last Secrets of the Third Reich,Unknown,United States,2021-05-12,2012,13+,1,Season,Documentary,May,2021
5059,TV Show,Color Crew - All about Colors (Spanish audio),Unknown,United States,2021-05-13,2018,ALL,3,Seasons,Animation,May,2021
5178,TV Show,Nursery Rhymes and Kids Songs by Little Baby Bum,Unknown,United States,2021-05-18,2015,ALL,10,Seasons,Kids,May,2021
5197,TV Show,The Family Man,Unknown,India,2021-05-19,2021,13+,2,Seasons,Action,May,2021
5320,TV Show,Teachers,Unknown,United States,2021-05-22,2004,18+,4,Seasons,Comedy,May,2021
5379,TV Show,Canticos,Unknown,United States,2021-05-24,2020,ALL,3,Seasons,Animation,May,2021
5460,TV Show,Bubble Guppies,Unknown,United States,2021-05-29,2015,TV-Y,3,Seasons,Animation,May,2021
5587,TV Show,Flack,Unknown,United States,2021-06-03,2021,16+,2,Seasons,Comedy,June,2021
5596,TV Show,Crash Canyon,Unknown,United States,2021-06-03,2013,TV-14,2,Seasons,Animation,June,2021
5600,TV Show,Bosch,Unknown,United States,2021-06-03,2021,16+,7,Seasons,Action,June,2021
5630,TV Show,HITOSHI MATSUMOTO Presents Documental,Unknown,United States,2021-06-04,2021,18+,4,Seasons,Comedy,June,2021
5744,TV Show,Making the Cut,Unknown,United States,2021-06-11,2021,13+,2,Seasons,Special Interest,June,2021
5751,TV Show,Billions,Unknown,United States,2021-06-11,2019,TV-MA,4,Seasons,TV Shows,June,2021
5752,TV Show,Being Erica,Unknown,United States,2021-06-11,2009,TV-14,1,Season,Drama,June,2021
5753,TV Show,8 Out Of 10 Cats,Unknown,United States,2021-06-11,2012,16+,2,Seasons,Arts,June,2021
5783,TV Show,Stickin' Around,Unknown,United States,2021-06-12,1998,TV-G,3,Seasons,Animation,June,2021
5855,TV Show,Horseland Season 1,Unknown,United States,2021-06-15,2008,TV-Y7,1,Season,Animation,June,2021
5868,TV Show,Adventures of Paddingon Bear,Unknown,United States,2021-06-15,1998,TV-Y,2,Seasons,Animation,June,2021
5920,TV Show,Sergio Ramos,Unknown,Spain,2021-06-18,2021,16+,2,Seasons,Sports,June,2021
5990,TV Show,HobbyKids Adventures by pocket.watch: The Complete Collection,Unknown,United States,2021-06-20,2019,ALL,2,Seasons,Animation,June,2021
5992,TV Show,The Adventures of Joe Coodryette,Unknown,United States,2021-06-21,2021,7+,1,Season,Animation,June,2021
5993,TV Show,Inside Sportfishing,Unknown,United States,2021-06-21,2021,13+,1,Season,Documentary,June,2021
6009,TV Show,Jamillah & Aladdin,Unknown,United States,2021-06-22,2018,TV-Y7,2,Seasons,Action,June,2021
6025,TV Show,The Border,Unknown,United States,2021-06-23,2009,16+,3,Seasons,Drama,June,2021
6043,TV Show,A Toy Store Near You,Unknown,United States,2021-06-23,2021,TV-14,3,Seasons,Documentary,June,2021
6051,TV Show,Pinkfong! Phonics Songs,Unknown,United States,2021-06-24,2017,ALL,1,Season,Animation,June,2021
6056,TV Show,Jacob Two-Two,Unknown,United States,2021-06-24,2006,TV-Y7,3,Seasons,Animation,June,2021
6059,TV Show,Four Senses,Unknown,United States,2021-06-24,2016,TV-G,2,Seasons,Special Interest,June,2021
6075,TV Show,The Bridge,Unknown,United States,2021-06-25,2014,TV-MA,2,Seasons,Drama,June,2021
6114,TV Show,Portrait Artist of The Year,Unknown,United States,2021-06-26,2007,ALL,3,Seasons,Arts,June,2021
6122,TV Show,Little Charmers,Unknown,United States,2021-06-26,2016,TV-G,2,Seasons,Animation,June,2021
6166,TV Show,Braceface,Unknown,United States,2021-06-29,2004,TV-Y,4,Seasons,Animation,June,2021
6252,TV Show,Britannia,Unknown,United States,2021-07-01,2019,NR,2,Seasons,Drama,July,2021
6294,TV Show,The Hunting Public,Unknown,United States,2021-07-03,2020,13+,4,Seasons,Action,July,2021
6314,TV Show,AnimaCars - Truck and Animal's Adventures,Unknown,United States,2021-07-03,2021,ALL,1,Season,Animation,July,2021
6385,TV Show,El Cid,Unknown,Spain,2021-07-08,2021,16+,2,Seasons,Drama,July,2021
6418,TV Show,Series before 1C onboarding - 2,Unknown,United States,2021-07-12,2021,18+,2,Seasons,Action,July,2021
6488,TV Show,Jane and the Dragon,Unknown,United States,2021-07-16,2006,TV-Y7,2,Seasons,Animation,July,2021
